Start of new Program cycle.   

 Exit Found 	Iteration 	Time needed[ms] 	[s]
1	752	586	0
1	753	303	0
1	754	297	0
1	755	296	0
1	756	639	0
1	757	2943	2
1	758	153	0
1	759	246	0
1	760	114	0
1	761	112	0
1	762	116	0
1	763	324	0
1	764	233	0
1	765	88	0
1	766	183	0
1	767	242	0
1	768	757	0
1	769	578	0
1	770	87	0
1	771	101	0
1	772	55	0
1	773	134	0
1	774	52	0
1	775	57	0
1	776	154	0
1	777	2513	2
1	778	198	0
1	779	196	0
1	780	459	0
1	781	3822	3
1	782	1301	1
1	783	3264	3
1	784	250	0
1	785	2037	2
1	786	2004	2
1	787	219	0
1	788	253	0
1	789	199	0
1	790	116	0
1	791	120	0
1	792	211	0
1	793	3070	3
1	794	3473	3
1	795	129	0
1	796	130	0
1	797	642	0
1	798	380	0
1	799	2423	2
1	800	1686	1
1	801	2609	2
1	802	2238	2
1	803	3679	3
1	804	1756	1
1	805	2313	2
1	806	2924	2
1	807	835	0
1	808	3728	3
1	809	2870	2
1	810	173	0
1	811	251	0
1	812	341	0
1	813	456	0
1	814	2617	2
1	815	1525	1
1	816	2390	2
1	817	178	0
1	818	1942	1
1	819	170	0
1	820	1739	1
1	821	2126	2
1	822	2451	2
1	823	1754	1
1	824	2225	2
1	825	2809	2
1	826	517	0
1	827	674	0
1	828	3025	3
1	829	2988	2
1	830	2245	2
1	831	2001	2
1	832	2434	2
1	833	2209	2
1	834	2281	2
1	835	3155	3
1	836	443	0
1	837	1794	1
1	838	2656	2
1	839	2473	2
1	840	285	0
1	841	429	0
1	842	647	0
1	843	293	0
1	844	274	0
1	845	112	0
1	846	110	0
1	847	113	0
1	848	119	0
1	849	113	0
1	850	315	0
1	851	167	0
1	852	2325	2
1	853	409	0
1	854	277	0
1	855	172	0
1	856	179	0
1	857	176	0
1	858	258	0
1	859	182	0
1	860	1793	1
1	861	1595	1
1	862	2278	2
1	863	1031	1
1	864	462	0
1	865	245	0
1	866	510	0
1	867	2783	2
1	868	2571	2
1	869	928	0
1	870	578	0
1	871	530	0
1	872	678	0
1	873	1967	1
1	874	402	0
1	875	563	0
1	876	1528	1
1	877	1751	1
1	878	1250	1
1	879	211	0
1	880	142	0
1	881	103	0
1	882	398	0
1	883	395	0
1	884	360	0
1	885	192	0
1	886	123	0
1	887	136	0
1	888	130	0
1	889	125	0
1	890	124	0
1	891	2003	2
1	892	1390	1
1	893	2913	2
1	894	3303	3
1	895	404	0
1	896	1354	1
1	897	2343	2
1	898	160	0
1	899	144	0
1	900	3457	3
1	901	3201	3
1	902	2104	2
1	903	473	0
1	904	3857	3
1	905	3324	3
1	906	3021	3
1	907	2233	2
1	908	106	0
1	909	93	0
1	910	90	0
1	911	290	0
1	912	296	0
1	913	361	0
1	914	311	0
1	915	580	0
1	916	321	0
1	917	458	0
1	918	560	0
1	919	3339	3
1	920	1038	1
1	921	2930	2
1	922	249	0
1	923	333	0
1	924	278	0
1	925	236	0
1	926	186	0
1	927	182	0
1	928	1032	1
1	929	282	0
1	930	451	0
1	931	381	0
1	932	2823	2
1	933	2101	2
1	934	389	0
1	935	249	0
1	936	276	0
1	937	1069	1
1	938	115	0
1	939	236	0
1	940	180	0
1	941	256	0
1	942	113	0
1	943	263	0
1	944	124	0
1	945	202	0
1	946	116	0
1	947	97	0
1	948	100	0
1	949	153	0
1	950	1559	1
1	951	145	0
1	952	247	0
1	953	244	0
1	954	915	0
1	955	281	0
1	956	851	0
1	957	1504	1
1	958	319	0
1	959	148	0
1	960	336	0
1	961	128	0
1	962	366	0
1	963	1157	1
1	964	637	0
1	965	593	0
1	966	1709	1
1	967	267	0
1	968	301	0
1	969	219	0
1	970	232	0
1	971	4382	4
1	972	2675	2
1	973	3781	3
1	974	156	0
1	975	165	0
1	976	96	0
1	977	160	0
1	978	91	0
1	979	94	0
1	980	91	0
1	981	176	0
1	982	1685	1
1	983	1342	1
1	984	2041	2
1	985	1076	1
1	986	2479	2
1	987	2446	2
1	988	315	0
1	989	109	0
1	990	96	0
1	991	327	0
1	992	1917	1
1	993	3081	3
1	994	1500	1
1	995	726	0
1	996	2114	2
1	997	128	0
1	998	123	0
1	999	119	0
1	1000	123	0

Start of new Program cycle.   

 Exit Found 	Iteration 	Time needed[ms] 	[s]
1	1	18379	18

Start of new Program cycle.   

 Exit Found 	Iteration 	Time needed[ms] 	[s]
1	1	2863	2
1	2	23946	23

Start of new Program cycle.   

 Exit Found 	Iteration 	Time needed[ms] 	[s]
1	1	3922	3
1	2	22797	22
1	3	22898	22
1	4	3011	3
1	5	11812	11
1	6	4288	4
1	7	1356	1
1	8	4220	4
1	9	22222	22
1	10	12494	12
1	11	5174	5
1	12	4217	4
1	13	25395	25
1	14	17376	17
1	15	26311	26
1	16	17820	17
1	17	23205	23
1	18	2586	2
1	19	23519	23
1	20	2942	2
1	21	22932	22
1	22	22178	22
1	23	3709	3
1	24	11800	11
1	25	21003	21
1	26	12984	12
1	27	1319	1
1	28	13605	13
1	29	3375	3
1	30	3998	3
1	31	25799	25
1	32	24699	24
1	33	21203	21
1	34	14465	14
1	35	25654	25
1	36	2975	2
1	37	4096	4
1	38	2630	2
1	39	12473	12
1	40	2007	2
1	41	14061	14
1	42	2730	2
1	43	22420	22
1	44	1877	1
1	45	22507	22
1	46	14718	14
1	47	1879	1
1	48	985	0
1	49	3686	3
1	50	22335	22
